datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:02:02.774377912,IBM,258.3,1,260.6,1
2025.05.23D08:02:02.830671629,IBM,258.3,1,260.5,1
2025.05.23D08:02:02.852493524,IBM,258.6,1,260.5,1
2025.05.23D08:02:02.852503492,IBM,258.6,1,260,1
2025.05.23D08:02:03.229654974,IBM,255,2,260,1
2025.05.23D08:02:03.229664905,IBM,258.3,1,260,1
2025.05.23D08:02:03.643628651,IBM,255,2,260,1
2025.05.23D08:02:03.644826579,IBM,255,2,263.77,3
2025.05.23D08:02:03.644841527,IBM,255,2,260.1,1
2025.05.23D08:02:03.644851561,IBM,255,2,263.77,3
2025.05.23D08:02:03.645462991,IBM,255,2,260.2,1
2025.05.23D08:02:03.651547501,IBM,255,2,263.77,3
2025.05.23D08:02:03.651562492,IBM,255,2,260.3,1
2025.05.23D08:02:03.693837967,IBM,258.3,1,260.3,1
2025.05.23D08:02:03.712502394,IBM,258.3,1,263.77,3
2025.05.23D08:02:03.712512344,IBM,258.3,1,260.5,1
2025.05.23D08:02:03.814559866,IBM,258.3,1,260,1
2025.05.23D08:02:03.835730238,IBM,258.4,1,260,1
2025.05.23D08:02:04.645885554,IBM,258.4,1,263.77,3
2025.05.23D08:02:04.645895547,IBM,258.4,1,260.3,1
2025.05.23D08:02:04.696987006,IBM,258.4,1,260.2,1
2025.05.23D08:02:04.753436196,IBM,258.4,1,260.1,1
2025.05.23D08:02:04.772461446,IBM,258.4,1,260,1
2025.05.23D08:02:09.987811090,IBM,255,2,260,1
2025.05.23D08:02:09.999408431,IBM,255,2,263.77,3
2025.05.23D08:02:09.999418404,IBM,255,2,260.2,1
2025.05.23D08:02:11.897719794,IBM,255,2,263.77,3
2025.05.23D08:02:11.897729902,IBM,255,2,260.3,1
2025.05.23D08:02:11.898957812,IBM,255,2,263.77,3
2025.05.23D08:02:11.898967845,IBM,255,2,260.6,1
2025.05.23D08:02:11.898982846,IBM,255,2,263.77,3
2025.05.23D08:02:11.899133170,IBM,255,2,260.7,1
2025.05.23D08:02:11.899148184,IBM,255,2,263.77,3
2025.05.23D08:02:11.899163256,IBM,255,2,261,1
2025.05.23D08:02:11.901047727,IBM,255,2,263.77,3
2025.05.23D08:02:11.901062826,IBM,255,2,261.1,1
2025.05.23D08:02:11.961030256,IBM,258.2,1,261.1,1
2025.05.23D08:02:11.961040307,IBM,258.2,1,260.3,1
2025.05.23D08:02:12.023102808,IBM,258.6,1,260.3,1
2025.05.23D08:02:12.051169509,IBM,258.6,1,260.2,1
2025.05.23D08:02:12.906216613,IBM,258.6,1,263.77,3
2025.05.23D08:02:12.906221550,IBM,258.6,1,260.3,1
2025.05.23D08:02:15.323486320,IBM,258.6,1,260.2,1
2025.05.23D08:02:25.323471637,IBM,258.6,1,263.77,3
2025.05.23D08:02:25.323481728,IBM,258.6,1,260.3,1
2025.05.23D08:02:30.493909534,IBM,258.6,1,260.2,1
2025.05.23D08:02:54.341063148,IBM,258.6,1,263.77,3
2025.05.23D08:02:54.341068083,IBM,258.6,1,260.5,1
2025.05.23D08:02:54.397341905,IBM,258.8,1,260.5,1
2025.05.23D08:02:54.406483634,IBM,258.8,1,260.4,1
2025.05.23D08:02:54.413525343,IBM,255,2,260.4,1
2025.05.23D08:02:54.413535304,IBM,258.6,1,260.4,1
2025.05.23D08:02:54.413685686,IBM,255,2,260.4,1
2025.05.23D08:02:54.413695681,IBM,258.4,1,260.4,1
2025.05.23D08:02:54.464386243,IBM,258.5,1,260.4,1
2025.05.23D08:02:54.464401281,IBM,258.5,1,260.3,1
2025.05.23D08:02:54.475417454,IBM,258.6,1,260.3,1
2025.05.23D08:02:54.564489122,IBM,258.7,1,260.3,1
2025.05.23D08:02:54.915643583,IBM,255,2,260.3,1
2025.05.23D08:02:54.915773918,IBM,255,2,259.85,1
2025.05.23D08:02:54.919743296,IBM,255,2,260.3,1
2025.05.23D08:02:54.971551452,IBM,255,2,260.2,1
2025.05.23D08:02:54.978452888,IBM,255,2,260,1
2025.05.23D08:02:54.986567110,IBM,258,1,260,1
2025.05.23D08:02:54.987038251,IBM,255,2,260,1
2025.05.23D08:02:54.987048274,IBM,257.8,1,260,1
2025.05.23D08:02:54.990175712,IBM,257.8,1,259.77,1
2025.05.23D08:02:54.990240838,IBM,257.8,1,263.77,3
2025.05.23D08:02:54.990516518,IBM,257.8,1,259.77,1
2025.05.23D08:02:54.991839804,IBM,255,2,259.77,1
2025.05.23D08:02:54.994485916,IBM,255,2,263.77,3
2025.05.23D08:02:55.061660601,IBM,257.9,1,263.77,3
2025.05.23D08:02:55.090814925,IBM,257.9,1,260,1
2025.05.23D08:02:55.091456442,IBM,257.9,1,263.77,3
2025.05.23D08:02:55.091471422,IBM,257.9,1,260.1,1
2025.05.23D08:02:55.111699472,IBM,258,1,260.1,1
2025.05.23D08:02:55.112290902,IBM,258,1,263.77,3
2025.05.23D08:02:55.142988897,IBM,258.2,1,263.77,3
2025.05.23D08:02:55.195027569,IBM,258.2,1,260,1
2025.05.23D08:02:56.387907484,IBM,258.2,1,263.77,3
2025.05.23D08:02:56.387917464,IBM,258.2,1,260.2,1
2025.05.23D08:02:56.405789943,IBM,255,2,260.2,1
2025.05.23D08:02:56.405804964,IBM,258.1,1,260.2,1
2025.05.23D08:02:56.474077223,IBM,258.1,1,263.77,3
2025.05.23D08:02:56.474087271,IBM,258.1,1,260.3,1
2025.05.23D08:02:56.526501882,IBM,258.1,1,260.2,1
2025.05.23D08:02:56.554513390,IBM,258.1,1,259.8,1
2025.05.23D08:02:57.016902299,IBM,258.1,1,263.77,3
2025.05.23D08:02:57.016912380,IBM,258.1,1,260,1
2025.05.23D08:02:59.122245820,IBM,258.1,1,259.7,1
2025.05.23D08:02:59.415838495,IBM,255,2,259.7,1
2025.05.23D08:02:59.415848599,IBM,257.6,1,259.7,1
2025.05.23D08:02:59.942906083,IBM,257.9,1,259.7,1
2025.05.23D08:03:00.070298837,IBM,255,2,259.7,1
2025.05.23D08:03:00.070308820,IBM,257.7,1,259.7,1
2025.05.23D08:03:00.083585390,IBM,257.7,1,263.77,3
2025.05.23D08:03:00.083595483,IBM,257.7,1,259.9,1
2025.05.23D08:03:00.099107261,IBM,255,2,259.9,1
2025.05.23D08:03:00.099117322,IBM,257.6,1,259.9,1
2025.05.23D08:03:00.214812294,IBM,257.7,1,259.9,1
2025.05.23D08:03:00.301648682,IBM,257.8,1,259.9,1
2025.05.23D08:03:00.620561642,IBM,257.8,1,259.89,1
